,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
251,tt0062178,movie,"Rapporto Fuller, base Stoccolma","Rapporto Fuller, base Stoccolma",0,1968.0,,100.0,"['Action', 'Thriller']",6.3,75
252,tt5087208,tvEpisode,Gortimer vs. The Friendship Bro-celet,Gortimer vs. The Friendship Bro-celet,0,2015.0,,24.0,"['Adventure', 'Family', 'Fantasy']",7.8,23
256,tt1387278,movie,Storm Under the Sun,Storm Under the Sun,0,2007.0,,137.0,[],8.2,16
258,tt2262242,movie,The Last Colony,The Last Colony,0,2015.0,,90.0,"['Documentary', 'History', 'News']",8.8,38
259,tt3473064,movie,Reel Rock 5,Reel Rock 5,0,2010.0,,97.0,[],8.1,28
260,tt0800212,video,Sounds of War,Sounds of War,0,2003.0,,59.0,[],7.6,7
261,tt0491142,video,Sex Klinik,Sex Klinik,1,2005.0,,102.0,[],2.7,16
262,tt3732210,short,Broken Record,Broken Record,0,1994.0,,29.0,"['Drama', 'Short']",6.7,6
263,tt7476742,tvEpisode,Duel,Duel,0,2017.0,,57.0,[],5.5,6
265,tt0286124,movie,Slings & Arrows,Slings & Arrows,0,1996.0,,107.0,[],8.0,7
267,tt0502099,tvEpisode,Men's Club,Men's Club,0,1987.0,,24.0,[],7.5,13
269,tt2145676,movie,Midnight Cabaret,Midnight Cabaret,0,2012.0,,78.0,"['Action', 'Crime', 'Drama']",6.4,19
270,tt4535672,short,Insanlik Tarihinin Ilk Günü,Insanlik Tarihinin Ilk Günü,0,2015.0,,44.0,"['Crime', 'Drama', 'Short']",6.4,14
271,tt2190292,tvEpisode,Love Is Love,Love Is Love,0,2012.0,,44.0,"['Comedy', 'Drama', 'Family']",5.9,27
273,tt1519141,tvEpisode,Go Go Ludicolo,Go Go Ludicolo,0,2004.0,,22.0,"['Action', 'Adventure', 'Animation']",6.7,53
275,tt4771616,tvEpisode,George's Curious Dragon Dance/Bowling for Bobolinks,George's Curious Dragon Dance/Bowling for Bobolinks,0,2015.0,,23.0,"['Adventure', 'Animation', 'Comedy']",7.2,5
